kepid,koi,per,adivr,delta,derror,host_radius,numstars,logg,logg_errup,logg_errdown,teff,teff_errup,teff_errdown,feh,feh_errup,feh_errdown,parallax,parallax_error,kepmag,jmag,hmag,kmag,gmag,rmag,imag,zmag
2718885,0,0.1973335,3.43,96.0,14.0,1.4169999999999998,80048.85391840589,4.113,0.048,-0.048,5549.4,118.3,-112.4,0.033,0.161,-0.16399999999999998,0.8214350474324259,0.024399931516546187,14.659,13.349,12.99,12.936,15.231,14.607,14.414,14.325
3112129,4144,0.48765719,3.67,107.0,6.0,0.972,51999.96976883894,4.39,0.07,-0.08,6000.0,65.0,-64.0,-0.11,0.04,-0.04,1.1589756199205001,0.019811194966532133,14.374,13.313,13,12.968,14.833,14.326,14.177,14.123
4665571,2393,0.76669043,5.28,259.0,13.0,0.727,75349.44899639767,4.59,0.03,-0.04,4836.0,65.0,-65.0,-0.06,0.04,-0.04,1.9703387881105137,0.03246695495141298,14.903,13.31,12.836,12.721,15.695,14.841,14.564,14.376
8435766,0,0.35500753,3.37,229.0,1.0,0.7440000000000001,80990.78989925668,4.572,0.026000000000000002,-0.028999999999999998,5005.3,83.3,-80.2,-0.154,0.106,-0.10300000000000001,8.011261176282497,0.021162389869208213,11.551,10.183,9.675,9.586,12.182,11.46,11.281,11.129
9642018,4430,0.25255594,3.74,223.0,23.0,0.799,85224.54937513474,4.55,0.04,-0.05,5104.0,65.0,-66.0,0.1,0.04,-0.04,1.1218164766361391,0.027226033095549645,15.544,14.188,13.679,13.635,16.215,15.471,15.256,15.115
11187332,0,0.30598391,5.42,126.0,13.0,0.95,68671.58924022509,4.428,0.046,-0.05,5593.6,107.4,-105.9,-0.102,0.141,-0.14400000000000002,0.952919433541236,0.025963683637441802,15.168,13.954,13.59,13.48,15.684,15.102,14.947,14.878
11550689,0,0.30160087,2.55,412.0,6.0,0.647,90699.21497942634,4.617,0.033,-0.025,4190.1,55.6,-54.4,0.095,0.12,-0.11599999999999999,3.7483042174937298,0.019373045459126555,14.604,12.631,11.976,11.804,15.875,14.604,14.06,13.803
1717722,3145,0.97730809,5.22,266.0,21.0,0.6559999999999999,68161.22347713246,4.629,0.022000000000000002,-0.024,4706.4,88.9,-83.4,-0.281,0.10800000000000001,-0.10800000000000001,1.659279938858944,0.034851129318442885,15.689,14.057,13.46,13.358,16.554,15.617,15.319,15.128
3444588,1202,0.92831093,5.7,397.0,21.0,0.652,83766.20859491178,4.624,0.025,-0.025,4247.7,80.4,-60.3,0.065,0.11900000000000001,-0.113,1.95791255754333,0.0361629764598275,15.854,13.936,13.305,13.105,17.024,15.839,15.352,15.057
4055304,2119,0.57103885,3.98,243.0,5.0,0.792,79809.6432066614,4.54,0.04,-0.05,5136.0,65.0,-65.0,0.18,0.04,-0.04,2.303473521071266,0.02284205095332707,14.098,12.682,12.24,12.151,14.796,14.022,13.799,13.669
